id,name,shortcut
base.res_partner_title_1,บริษัทจำกัด,บจก.
base.res_partner_title_2,บริษัทมหาชน,บมจ.
base.res_partner_title_3,ห้างหุ้นส่วนจำกัด,หจก.
base.res_partner_title_4,ห้างหุ้นส่วนสามัญนิติบุคคล,หสน.
base.res_partner_title_5,ธนาคารพาณิชย์,บ.
base.res_partner_title_6,กิจการร่วมค้า,กิจการร่วมค้า
base.res_partner_title_7,กระทรวง,กระทรวง
base.res_partner_title_8,ห้างหุ้นส่วนสามัญ,หสม.
base.res_partner_title_9,คุณ,คุณ
base.res_partner_title_10,นาย,นาย
base.res_partner_title_11,นางสาว,น.ส.
base.res_partner_title_12,นาง,นาง
base.res_partner_title_13,นายแพทย์,นพ.
base.res_partner_title_14,แพทย์หญิง,พญ.
base.res_partner_title_15,ทันตแพทย์ชาย,ทพ.
base.res_partner_title_16,ทันตแพทย์หญิง,ทญ.
base.res_partner_title_17,สัตวแพทย์,สพ.
base.res_partner_title_18,เภสัชกร,ภช.
base.res_partner_title_19,เภสัชกรหญิง,ภญ.
base.res_partner_title_20,ด็อกเตอร์,ดร.
base.res_partner_title_21,ศาสตาจารย์,ศ.
base.res_partner_title_22,รองศาสตราจารย์,รศ.
base.res_partner_title_23,ผู้ช่วยศาสตราจารย์,ผศ.
base.res_partner_title_24,หม่อมหลวง,ม.ล.
base.res_partner_title_25,หม่อมเจ้า,ม.จ.
base.res_partner_title_26,หม่อมเจ้าหญิง,ม.จ.หญิง
base.res_partner_title_27,หม่อมราชวงศ์,ม.ร.ว.
base.res_partner_title_28,เด็กชาย,ด.ช.
base.res_partner_title_29,เด็กหญิง,ด.ญ.
base.res_partner_title_30,สิบเอก,ส.อ.
base.res_partner_title_31,จ่าสิบตรี,จ.ส.ต.
base.res_partner_title_32,จ่าสิบโท,จ.ส.ท.
base.res_partner_title_33,จ่าสิบเอก,จ.ส.อ.
base.res_partner_title_34,ร้อยตรี,ร.ต.
base.res_partner_title_35,ร้อยโท,ร.ท.
base.res_partner_title_36,ร้อยเอก,ร.อ.
base.res_partner_title_37,พันตรี,พ.ต.
base.res_partner_title_38,พันโท,พ.ท.
base.res_partner_title_39,พันเอก,พ.อ.
base.res_partner_title_40,พันเอกพิเศษ,พ.อ.พิเศษ
base.res_partner_title_41,พลตรี,พล.ต
base.res_partner_title_42,พลโท,พล.ท.
base.res_partner_title_43,พลเอก,พล.อ.
base.res_partner_title_44,จ่าตรี,จ.ต.
base.res_partner_title_45,จ่าโท,จ.ท.
base.res_partner_title_46,จ่าเอก,จ.อ.
base.res_partner_title_47,พันจ่าตรี,พ.จ.ต.
base.res_partner_title_48,พันจ่าโท,พ.จ.ท.
base.res_partner_title_49,พันจ่าเอก,พ.จ.อ.
base.res_partner_title_50,เรือตรี,ร.ต.
base.res_partner_title_51,เรือโท,ร.ท.
base.res_partner_title_52,เรือเอก,ร.อ.
base.res_partner_title_53,นาวาตรี,น.ต.
base.res_partner_title_54,นาวาโท,น.ท.
base.res_partner_title_55,นาวาเอก,น.อ.
base.res_partner_title_56,นาวาเอกพิเศษ,น.อ.พิเศษ
base.res_partner_title_57,พลเรือตรี,พล.ร.ต.
base.res_partner_title_58,พลเรือโท,พล.ร.ท.
base.res_partner_title_59,พลเรือเอก,พล.ร.อ.
base.res_partner_title_60,จ่าอากาศตรี,จ.อ.ต.
base.res_partner_title_61,จ่าอากาศโท,จ.อ.ท.
base.res_partner_title_62,จ่าอากาศเอก,จ.อ.อ.
base.res_partner_title_63,เรืออากาศตรี,ร.อ.ต.
base.res_partner_title_64,เรืออากาศโท,ร.อ.ท.
base.res_partner_title_65,เรืออากาศเอก,ร.อ.อ.
base.res_partner_title_66,นาวาอากาศตรี,น.อ.ต.
base.res_partner_title_67,นาวาอากาศโท,น.อ.ท.
base.res_partner_title_68,นาวาอากาศเอก,น.อ.อ.
base.res_partner_title_69,นาวาอากาศเอกพิเศษ,น.อ.อ.พิเศษ
base.res_partner_title_70,พลอากาศตรี,พล.อ.ต.
base.res_partner_title_71,พลอากาศโท,พล.อ.ท.
base.res_partner_title_72,พลอากาศเอก,พล.อ.อ.
base.res_partner_title_73,พลตำรวจ,พลฯ
base.res_partner_title_74,สิบตำรวจตรี,ส.ต.ต.
base.res_partner_title_75,สิบตำรวจโท,ส.ต.ท.
base.res_partner_title_76,สิบตำรวจเอก,ส.ต.อ.
base.res_partner_title_77,จ่าสิบตำรวจ,จ.ส.ต.
base.res_partner_title_78,ดาบตำรวจ,ด.ต.
base.res_partner_title_79,ร้อยตำรวจตรี,ร.ต.ต.
base.res_partner_title_80,ร้อยตำรวจโท,ร.ต.ท.
base.res_partner_title_81,ร้อยตำรวจเอก,ร.ต.อ.
base.res_partner_title_82,พันตำรวจตรี,พ.ต.ต.
base.res_partner_title_83,พันตำรวจโท,พ.ต.ท.
base.res_partner_title_84,พันตำรวจเอก,พ.ต.อ.
base.res_partner_title_85,พันตำรวจเอกพิเศษ,พ.ต.อ.พิเศษ
base.res_partner_title_86,พลตำรวจตรี,พล.ต.ต.
base.res_partner_title_87,พลตำรวจโท,พล.ต.ท.
base.res_partner_title_88,พลตำรวจเอก,พล.ต.อ.
base.res_partner_title_89,MR.,MR.
base.res_partner_title_90,MISS,MISS
base.res_partner_title_91,MRS.,MRS.
base.res_partner_title_92,MS.,MS.
base.res_partner_title_93,อาจารย์,อาจารย์
base.res_partner_title_94,พระ,พระ
base.res_partner_title_95,อื่นๆ ( Other ),